64.29,0.825
55.5,0.514
57.83,0.733
53.88,1.22
46.78,1.021
59.63,1.011
57.67,0.943
52.8,1.041
50.84,1.348
56.84,1.276
58.32,1.392
56.01,0.764
62.56,0.84
59.38,1.392
58.43,0.973
48.31,1.075
54.44,1.128
56.88,0.655
56.2,0.727
46.2,1.0
52.1,1.03
52.67,0.991
59.07,1.184
50.4,1.001
55.57,1.213
50.53,1.188
57.45,1.109
61.03,0.809
51.79,0.943
48.87,1.318
51.8,1.366
50.09,0.992
71.9,1.312
53.84,0.957
53.76,1.517
53.24,1.036
50.78,1.035
51.76,1.18
50.75,1.026
44.53,0.795
55.53,1.09
57.43,1.121
58.83,1.009
55.29,1.002
53.81,1.306
61.16,1.094
55.46,1.073
53.33,1.006
47.97,0.991
58.78,0.694
48.8,0.925
56.4,0.816
52.43,1.017
51.58,1.175
60.23,1.34
49.03,1.061
54.01,1.055
56.99,0.919
48.23,1.11
55.23,1.169
