14.3,2.506
13.9,2.1
15.6,2.642
14.2,1.431
16.5,1.73
12.9,2.272
16.4,2.395
13.0,2.0
19.7,1.338
11.8,2.136
13.0,2.792
15.0,1.76
12.9,1.866
18.7,1.371
12.4,2.229
12.5,2.248
15.1,2.471
13.6,2.735
15.3,1.721
18.1,2.963
15.1,2.017
16.0,1.985
16.1,2.097
12.0,1.525
16.2,2.058
15.7,1.303
15.2,1.59
14.1,1.691
11.9,1.571
13.9,2.647
17.4,1.751
14.6,1.639
14.2,1.592
15.0,1.651
13.5,2.331
11.8,2.986
16.8,2.794
13.6,2.48
14.3,1.892
11.3,2.264
15.7,1.945
13.2,1.794
12.0,1.506
11.1,1.843
15.1,2.005
15.2,2.241
15.4,1.806
14.1,2.155
15.1,2.373
13.7,1.792
15.9,1.98
15.5,1.561
14.5,2.033
