29.9,7.459
28.8,5.762
30.8,7.23
26.8,6.136
27.2,11.639
36.4,8.408
26.4,9.899
30.1,9.739
31.9,7.198
28.7,6.928
32.8,5.857
34.3,7.19
30.6,6.414
31.5,8.318
32.0,7.794
24.3,7.873
32.1,8.862
31.4,8.027
29.7,8.263
32.7,10.005
28.8,8.075
36.5,6.252
34.1,8.752
32.7,8.599
29.6,5.377
30.8,5.63
28.6,8.003
34.4,7.128
32.4,10.459
32.6,9.816
34.6,5.229
27.4,5.948
28.3,8.073
35.2,5.757
30.7,7.85
28.7,6.981
34.4,10.403
27.2,8.469
34.1,7.7
32.6,6.726
31.2,9.375
34.3,6.872
31.1,6.67
33.9,7.922
35.7,8.243
29.8,9.041
34.0,5.687
30.4,8.93
28.6,7.391
38.6,8.247
32.8,7.73
32.3,9.03
35.0,7.858
27.8,8.325
22.9,7.461
32.3,8.384
30.2,9.425
34.3,5.415
30.9,7.894
35.1,7.548
36.1,9.153
26.0,6.082
36.8,9.335
35.7,12.483
